Full Name,Year,Nationality,Gender,Type of Death,Status,Job,Employed as,Organizations,Coverage,Medium,Local or Foreign?,Source of Fire,Motive Confirmed,tortured,captive,threatened,photoUrl,photoCredit
Hisham Fares al-Adhami,2019,Iraq,Male,Dangerous Assignment,Confirmed,"Broadcast Reporter,Camera Operator",Freelance,Freelance,"Politics,Crime","Internet,Television",Local,"Military Officials,Paramilitary Group",Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/HishamFaresal-Adhami.jpg_5d2fbf47-71aa-4512-8221-ab0161698cd0.jpeg,Fanar al-Adhami
Jorge Celestino Ruiz Vázquez,2019,Mexico,Male,Murder,Confirmed,Print Reporter,Staff,El Gráfico,"Crime,Politics",Print,Local,Government Officials,Confirmed,No,No,Yes,,
Leonardo Gabriel Hernández,2019,Honduras,Male,Murder,Confirmed,Broadcast Reporter,Staff,Valle TV,"Politics,Crime,Corruption",Television,Local,Criminal Group,Confirmed,No,No,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/GabrielHernandez.jpg_9b682b18-fa60-4952-9f51-8432b116213d.jpeg,Katy Carolina García
Lyra McKee,2019,UK,Female,Dangerous Assignment,Confirmed,"Print Reporter,Internet Reporter",Freelance,Freelance,"War,Crime,Politics,Human Rights","Internet,Print",Local,Political Group,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/lyra_mckee_brendan_gallagher_1.jpg_22802253-e07d-478e-83aa-8d1e14246f7d.jpeg,Brendan Gallagher
Mohamed Ben Khalifa,2019,Libya,Male,Crossfire,Confirmed,Photographer,Freelance,Freelance,War,Internet,Local,Political Group,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/MohamedBenKhalifa_1.jpg_a28f2ac4-7d6d-4139-b02e-79dee864b53d.jpeg,Hiba Shalabi
Mohamed Sahal Omar,2019,Somalia,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Staff,SBC TV,"Human Rights,Politics",Television,Local,Political Group,Confirmed,,,,,
Mohammed Hussein Rasho,2019,Syria,Male,Crossfire,Confirmed,"Broadcast Reporter,Camera Operator",Staff,Cira TV,"Politics,War","Internet,Television",Local,Military Officials,Confirmed,,,,,
Néhémie Joseph,2019,Haiti,Male,Murder,Confirmed,"Broadcast Reporter,Columnist/Commentator",Staff,"Radio Panic FM,Radio Méga","Corruption,Crime,Politics",Radio,Local,Government Officials,Confirmed,No,Yes,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/NehemieJoseph.jpeg_f445591f-6c50-4c08-8292-78ed5dd4160b.jpeg,Radio Méga
Nevith Condés Jaramillo,2019,Mexico,Male,Murder,Confirmed,"Internet Reporter,Camera Operator",Staff,El Observatorio del Sur,"Crime,Politics",Internet,Local,"Government Officials,Criminal Group",Confirmed,No,No,Yes,,
Norma Sarabia Garduza,2019,Mexico,Female,Murder,Confirmed,"Print Reporter,Internet Reporter",Staff,"Tabasco Hoy,Diario Presente","Crime,Politics","Print,Internet",Local,Criminal Group,Confirmed,No,No,Yes,,
Obed Nangbatna,2019,Chad,Male,Crossfire,Confirmed,"Camera Operator,Broadcast Reporter",Staff,Télé Tchad,War,Television,Local,Political Group,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Killed_cap_ObedNangbatina_rs.JPG_df1d8700-8c14-4b7f-8e82-5bde9e2c7bf6.jpeg,Yamgoto Nesta/Tchadinfos
Precious Owolabi,2019,Nigeria,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Staff,Channels TV,"Business,Culture,Human Rights,Politics",Television,Local,"Government Officials,Mob Violence",Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/PreciousOwolabi_cap_rs.jpg_0cdecbd5-4745-4d7f-8acf-2da427113825.jpeg,Channels TV
Rafael Murúa Manríquez,2019,Mexico,Male,Murder,Confirmed,Publisher/Owner,Staff,Radiokoshana FM,"Business,Corruption,Crime,Politics,Sports",Radio,Local,Criminal Group,Confirmed,No,No,Yes,,
Saad Ahmed,2019,Syria,Male,Crossfire,Confirmed,Internet Reporter,Staff,Hawar News Agency (ANHA),"Politics,Human Rights,War",Internet,Local,Military Officials,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/saadahmed_killedcap10.22.jpg_cbbf8c44-38d2-4c8c-8d70-69b40cacdb78.jpeg,Hawar News Agency
Samuel Wazizi,2019,Cameroon,Male,Unknown,Confirmed,"Broadcast Reporter,Camera Operator,Photographer",Staff,Chillen Muzik TV,"Human Rights,Politics","Internet,Television",Local,Military Officials,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/wazizi-killed-cap.jpg_e870774b-c3be-4f0e-b3f5-e2814e630569.jpeg,Tah Mai Jarvis
Vadym Komarov,2019,Ukraine,Male,Murder,Confirmed,Print Reporter,Freelance,Dzvin,"Corruption,Crime","Print,Internet",Local,Government Officials,Confirmed,No,No,No,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Komarov_killed_cap_rs.jpeg_66715caf-af9c-4a4a-81e3-20fd1536365d.jpeg,Oleg Ganin
Vedat Erdemci,2019,Turkey,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Freelance,"Hawar News Agency (ANHA),Ronahi TV","Human Rights,Politics,War","Internet,Television",Foreign,Military Officials,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Erdemci_killed_11-08-2019.jpg_ff8c038f-9f81-43f0-a415-a49772fce68c.jpeg,Hivda Gever
Abadullah Hananzai,2018,Afghanistan,Male,Murder,Confirmed,Producer,Staff,"Radio Azadi,Radio Free Europe/Radio Liberty","Crime,Politics,War","Radio,Internet",Local,Political Group,Confirmed,No,No,No,,
Abdul Manan Arghand,2018,Afghanistan,Male,Murder,Confirmed,Broadcast Reporter,Staff,Kabul News,"Politics,War",Television,Local,Political Group,Confirmed,No,No,Yes,,
Abdul Rahman Ismael Yassin,2018,Syria,Male,Crossfire,Confirmed,"Photographer,Internet Reporter",Staff,Hammouriyeh Media Office,War,Internet,Local,Military Officials,Confirmed,,,,,
Abdullah al-Qadry,2018,Yemen,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Staff,Belqees TV,War,Television,Local,Political Group,Confirmed,,,,,
Abdullah Mire Hashi,2018,Somalia,Male,Murder,Confirmed,"Producer,Columnist/Commentator",Staff,Darul Sunnah,"Culture,Crime,Business",Radio,Local,Political Group,Confirmed,No,No,No,,
Achyutananda Sahu,2018,India,Male,Crossfire,Confirmed,Camera Operator,Staff,Doordarshan,Politics,Television,Local,Political Group,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Sahu_Doordarshan1.jpg_1fd9419f-61b7-4e4e-ac74-65442e9fea46.jpeg,Doordarshan
Ahmed Abu Hussein,2018,Israel and the Occupied Palestinian Territory,Male,Dangerous Assignment,Confirmed,Photographer,Staff,"Voice of the People Radio,Bisan News Agency","Human Rights,Politics,War",Internet,Local,Military Officials,Confirmed,,,,,
Ahmed Azize,2018,Syria,Male,Crossfire,Confirmed,"Photographer,Camera Operator",Staff,Aleppo News Network,War,Internet,Local,Military Officials,Confirmed,,,,,
Aleksandr Rastorguyev,2018,Russia,Male,Dangerous Assignment,Confirmed,"Broadcast Reporter,Producer",Freelance,The Investigations Management Centre (TsUR),"Business,Corruption,Crime,Human Rights,Politics,War",Television,Foreign,"Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group",Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AP_RasturgurovCap.jpg_75b5e8c0-3334-46e8-84e5-f108c0dab6ac.jpeg,AP Photo/Alexei Maishev
Ali Saleemi,2018,Afghanistan,Male,Murder,Confirmed,"Broadcast Reporter,Camera Operator",Staff,Mashal TV,"Politics,War",Television,Local,Political Group,Confirmed,No,No,No,,
Ángel Eduardo Gahona,2018,Nicaragua,Male,Dangerous Assignment,Confirmed,"Broadcast Reporter,Internet Reporter,Producer",Staff,El Meridiano,"Business,Crime,Culture,Politics","Television,Internet",Local,"Government Officials,Local Residents",Confirmed,,,,https://cpj-photos.s3.amazonaws.com/Angel%20Gahona_Migueliuth%20Sandoval-2018-05-11-1526073358034.jpg,Migueliuth Sandoval
Awil Dahir Salad,2018,Somalia,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Staff,Universal TV,Politics,"Radio,Television",Local,Political Group,Confirmed,,,,,
Bashar al-Attar,2018,Syria,Male,Crossfire,Confirmed,Photographer,Staff,Arbin Unified Media Office,War,Internet,Local,Military Officials,Confirmed,,,,,
Carlos Domínguez Rodríguez,2018,Mexico,Male,Murder,Confirmed,Columnist/Commentator,Freelance,Freelance,"Corruption,Crime,Politics","Print,Internet",Local,Government Officials,Confirmed,No,No,No,,
Chandan Tiwari,2018,India,Male,Murder,Confirmed,Print Reporter,Staff,Aj Newspaper,"Corruption,Crime,Politics",Print,Local,"Criminal Group,Local Residents",Confirmed,Yes,Yes,Yes,,
Dennis Denora,2018,Philippines,Male,Murder,Confirmed,"Publisher/Owner,Print Reporter",Staff,Trends and Times,Politics,"Radio,Print",Local,Government Officials,Confirmed,No,No,No,,
Gerald Fischman,2018,USA,Male,Murder,Confirmed,"Columnist/Commentator,Editor",Staff,Capital Gazette,"Business,Crime,Culture,Politics","Internet,Print",Local,Local Residents,Confirmed,No,No,Yes,https://cpj-photos.s3.amazonaws.com/CG_gerald-fis_1-2018-07-02-1530565716075.jpg,Baltimore Sun Media Group
Ghazi Rasooli,2018,Afghanistan,Male,Murder,Confirmed,Broadcast Reporter,Staff,1TV,"Crime,Politics,War","Internet,Television",Local,Political Group,Confirmed,No,No,No,,
Hamoud al-Jnaid,2018,Syria,Male,Murder,Confirmed,"Broadcast Reporter,Photographer",Staff,Radio Fresh,"Human Rights,War","Radio,Internet",Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Syria_Jnaid.jpg_60a00313-c5fd-473e-b8b8-8507a8368725.jpeg,Radio Fresh
Ibrahim al-Munjar,2018,Syria,Male,Murder,Confirmed,Internet Reporter,Staff,Sy24,"Human Rights,War",Internet,Local,Political Group,Confirmed,No,No,Yes,,
Jairo Souza,2018,Brazil,Male,Murder,Confirmed,Broadcast Reporter,Staff,Rádio Pérola,"Corruption,Business,Politics",Radio,Local,"Criminal Group,Government Officials",Confirmed,No,No,Yes,https://cpj-photos.s3.amazonaws.com/Jairo%20Sousa%20killed%20cap%207-2018-07-18-1531947537132.9,Rádio Pérola
Jamal Khashoggi,2018,Saudi Arabia,Male,Murder,Confirmed,Columnist/Commentator,Staff,The Washington Post,"Corruption,Culture,Human Rights,Politics,War","Print,Internet",Local,Government Officials,Confirmed,Yes,Yes,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/KhashoggiReuters.jpg_94e73678-6f81-48a1-b808-cb71193a851c.jpeg,Middle East Monitor/Reuters
Ján Kuciak,2018,Slovakia,Male,Murder,Confirmed,Internet Reporter,Staff,Aktuality,"Business,Corruption,Crime,Politics",Internet,Local,"Criminal Group,Government Officials",Confirmed,No,No,Yes,https://cpj-photos.s3.amazonaws.com/AP-Slovakia-2018-03-02-1520003922512.jpg,AP/Bundas Engler
Jefferson Pureza Lopes,2018,Brazil,Male,Murder,Confirmed,Broadcast Reporter,Staff,Beira Rio FM,"Corruption,Crime,Politics",Radio,Local,"Criminal Group,Political Group,Government Officials",Confirmed,No,No,Yes,,
Joey Llana,2018,Philippines,Male,Murder,Confirmed,Broadcast Reporter,Staff,Home Radio Legazpi,Politics,Radio,Local,"Government Officials,Criminal Group",Confirmed,No,No,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/JoeyLlana.jpg_d0716d4c-26af-430e-9fab-a79b78296a16.jpeg,Facebook/Joey Llana
John McNamara,2018,USA,Male,Murder,Confirmed,"Editor,Internet Reporter,Print Reporter",Staff,Capital Gazette,Sports,"Internet,Print",Local,Local Residents,Confirmed,No,No,Yes,https://cpj-photos.s3.amazonaws.com/CG-john-mcnam_1-2018-07-02-1530566141593.jpg,Baltimore Sun Media Group
Juan Javier Ortega Reyes,2018,Ecuador,Male,Murder,Confirmed,Print Reporter,Staff,El Comercio,"Corruption,Crime,Politics,Human Rights",Print,Foreign,Political Group,Confirmed,Yes,Yes,No,https://cpj-photos.s3.amazonaws.com/Ec_Ortega1-2018-05-01-1525211691191.jpg,Ortega Family
Kamel abu al-Walid,2018,Syria,Male,Crossfire,Confirmed,Photographer,Staff,Jarabulus Media Office,War,Internet,Local,Military Officials,Confirmed,,,,,
Kirill Radchenko,2018,Russia,Male,Dangerous Assignment,Confirmed,Camera Operator,Freelance,The Investigations Management Centre (TsUR),"Human Rights,Business,Corruption,Crime,War,Politics",Television,Foreign,"Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group",Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AP_KirillRadchenko_killed.jpg_5f6acad3-9b4c-4e31-806c-226c30522134.jpeg,Vasily Maximov/AFP
Leobardo Vázquez Atzin,2018,Mexico,Male,Murder,Confirmed,Internet Reporter,Staff,Enlace Informativo Regional,"Corruption,Crime,Politics",Internet,Local,Government Officials,Confirmed,No,No,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AFP_LeobardoVzquezAtzin_killed.jpg_2eb5db28-a253-4ff0-ac66-3ef6dd1af850.jpeg,Victoria Razo/AFP
Leslie Ann Pamela Montenegro del Real,2018,Mexico,Female,Murder,Confirmed,"Internet Reporter,Columnist/Commentator",Staff,El Sillón,"Politics,Culture",Internet,Local,"Criminal Group,Government Officials",Confirmed,No,No,Yes,,
Maharram Durrani,2018,Afghanistan,Female,Murder,Confirmed,"Internet Reporter,Producer",Staff,"Radio Azadi,Radio Free Europe/Radio Liberty","Politics,War","Radio,Internet",Local,Political Group,Confirmed,No,No,No,,
Mario Leonel Gómez Sánchez,2018,Mexico,Male,Murder,Confirmed,"Print Reporter,Internet Reporter",Staff,El Heraldo de Chiapas,"Business,Corruption,Crime,Politics,Culture","Print,Internet",Local,Criminal Group,Confirmed,No,No,Yes,,
Mohammad al-Qadasi,2018,Yemen,Male,Crossfire,Confirmed,Photographer,Staff,Belqees TV,War,"Internet,Television",Local,Political Group,Confirmed,,,,,
Mohammad Salim Angaar,2018,Afghanistan,Male,Crossfire,Confirmed,Camera Operator,Staff,Radio Television Afghanistan,"Politics,War",Television,Local,"Government Officials,Political Group",Confirmed,,,,,
Musa Abdul Kareem,2018,Libya,Male,Murder,Confirmed,"Photographer,Editor",Staff,Fasanea,"Crime,Human Rights,War","Print,Internet",Local,"Political Group,Criminal Group",Confirmed,Yes,Yes,Yes,,
Mustafa Salamah,2018,Syria,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Sama TV,War,Television,Local,Political Group,Confirmed,,,,,
Navin Nischal,2018,India,Male,Murder,Confirmed,Print Reporter,Freelance,Dainik Bhaskar,Politics,Print,Local,"Government Officials,Criminal Group",Confirmed,No,No,No,,
Nowroz Ali Rajabi,2018,Afghanistan,Male,Murder,Confirmed,Camera Operator,Staff,1TV,"Crime,Politics,War","Internet,Television",Local,Political Group,Confirmed,No,No,No,,
Obeida abu Omar,2018,Syria,Male,Crossfire,Confirmed,Internet Reporter,Staff,Damaski Media Agency,War,Internet,Local,Military Officials,Confirmed,,,,,
Omar Ezzi Mohammad,2018,Yemen,Male,Crossfire,Confirmed,Technician,Staff,Al-Maraweah Radio Broadcasting Center,"Politics,War",Radio,Local,Military Officials,Confirmed,,,,,
Orkhan Dzhemal,2018,Russia,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Freelance,The Investigations Management Centre (TsUR),"Business,Crime,Corruption,Human Rights,Politics,War",Television,Foreign,"Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group",Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/DzhemalCap.jpg_7e06d129-3de8-495b-9e28-ae6a5240cc04.jpeg,A screen shot of Dzhemal speaking on Radio Svoboda.
Paúl Rivas Bravo,2018,Ecuador,Male,Murder,Confirmed,Photographer,Staff,El Comercio,"Culture,Human Rights,Politics,Sports",Print,Foreign,Political Group,Confirmed,Yes,Yes,No,https://cpj-photos.s3.amazonaws.com/Ec_Rivas1-2018-05-01-1525211993321.jpg,Rivas Family
Raed Fares,2018,Syria,Male,Murder,Confirmed,"Broadcast Reporter,Editor",Staff,Radio Fresh,"Human Rights,Politics,War","Radio,Internet",Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Syria_Fares.jpg_eaf13551-e216-498e-b660-c56cd1629454.jpeg,Radio Fresh
Ramiz Ahmadi,2018,Afghanistan,Male,Dangerous Assignment,Confirmed,Camera Operator,Staff,TOLO News,War,Television,Local,Political Group,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/RAMIZAhmadicap.jpg_bdf99136-695f-4c63-9972-ad855d4b299d.jpeg,TOLO News
Rob Hiaasen,2018,USA,Male,Murder,Confirmed,"Columnist/Commentator,Editor",Staff,Capital Gazette,"Business,Culture,Politics,Sports","Internet,Print",Local,Local Residents,Confirmed,No,No,Yes,https://cpj-photos.s3.amazonaws.com/CG-rob-hiaase_2-2018-07-02-1530566247791.jpg,Baltimore Sun Media Group
Sabawoon Kakar,2018,Afghanistan,Male,Murder,Confirmed,Producer,Staff,"Radio Azadi,Radio Free Europe/Radio Liberty","Culture,Politics,War","Print,Radio,Internet,Television",Local,Political Group,Confirmed,No,No,No,,
Saleem Talash,2018,Afghanistan,Male,Murder,Confirmed,Broadcast Reporter,Staff,Mashal TV,"Politics,War",Television,Local,Political Group,Confirmed,No,No,No,,
Samim Faramarz,2018,Afghanistan,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Staff,TOLO News,"Corruption,Politics,War",Television,Local,Political Group,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/SamimCap.jpg_ac00c264-82c7-449a-a457-524d3c9460a5.jpeg,TOLO News
Sandeep Sharma,2018,India,Male,Murder,Confirmed,Broadcast Reporter,Staff,News World,Corruption,Television,Local,Criminal Group,Confirmed,No,No,Yes,,
Shah Marai,2018,Afghanistan,Male,Murder,Confirmed,Photographer,Staff,Agence France-Presse,War,"Print,Internet",Local,Political Group,Confirmed,No,No,No,https://cpj-photos.s3.amazonaws.com/Marai-KilledCap-2018-05-02-1525271756917.jpg,AFP
Shujaat Bukhari,2018,India,Male,Murder,Confirmed,"Editor,Print Reporter",Staff,Rising Kashmir,"Human Rights,Politics",Print,Local,,Confirmed,No,No,Yes,https://cpj-photos.s3.amazonaws.com/Bukhari%202%20AP-2018-06-22-1529700255957.jpg,AP/Bikas Das
Sohail Khan,2018,Pakistan,Male,Murder,Confirmed,Print Reporter,Staff,K2 Times,"Corruption,Crime",Print,Local,Criminal Group,Confirmed,No,No,Yes,,
Wendi Winters,2018,USA,Female,Murder,Confirmed,"Internet Reporter,Print Reporter",Staff,Capital Gazette,"Business,Culture,Sports","Internet,Print",Local,Local Residents,Confirmed,No,No,Yes,https://cpj-photos.s3.amazonaws.com/CG_wendi-winters_2-2018-07-02-1530566269734.jpg,Baltimore Sun Media Group
Yar Mohammad Tokhi,2018,Afghanistan,Male,Murder,Confirmed,Camera Operator,Staff,TOLO News,"Politics,War","Internet,Television",Local,Political Group,Confirmed,No,No,No,,
Yaser Murtaja,2018,Israel and the Occupied Palestinian Territory,Male,Dangerous Assignment,Confirmed,"Camera Operator,Photographer,Producer",Staff,Ain Media,"Human Rights,Politics","Internet,Television",Local,Military Officials,Confirmed,,,,https://cpj-photos.s3.amazonaws.com/FB-IOPT-2018-04-10-1523368616649.jpg,Facebook/Yaser Murtaja
Abdul Hakim Shimul,2017,Bangladesh,Male,Dangerous Assignment,Confirmed,Print Reporter,Staff,Samakal,Politics,Print,Local,Government Officials,Confirmed,,,,,
Abdullahi Osman Moalim,2017,Somalia,Male,Murder,Confirmed,Broadcast reporter,Staff,"Jubbaland TV, Codka Hiraan",Politics,"Radio,Television",Local,Political Group,Confirmed,No,No,No,,
Alaa Kraym (Mohammed al-Qabouni),2017,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer,Internet Reporter",Freelance,Qaboun Media Center,"War,Human Rights",Internet,Local,Military Officials,Confirmed,,,,,
Ali Nur Siad,2017,Somalia,Male,Dangerous Assignment,Confirmed,Camera Operator,Freelance,Voice of America,"Politics,Culture,Human Rights,Sports,Business",Television,Local,Political Group,Confirmed,,,,https://cpj-photos.s3.amazonaws.com/Ali-Killed-2017-11-01-1509569705517.jpg,Bakar Hassan Abdi
Arkan Sharifi,2017,Iraq,Male,Murder,Confirmed,Camera Operator,Staff,Kurdistan TV,"Politics,War",Television,Local,"Political Group,Paramilitary Group",Confirmed,Yes,No,No,,
Cecilio Pineda Birto,2017,Mexico,Male,Murder,Confirmed,"Internet Reporter,Print Reporter",Freelance,Freelance,"Crime,Corruption","Print,Internet",Local,,Confirmed,No,No,Yes,,
Christopher Allen,2017,USA,Male,Crossfire,Confirmed,"Photographer,Internet Reporter,Print Reporter",Freelance,Freelance,"War,Corruption,Politics","Print,Internet",Foreign,Military Officials,Confirmed,,,,https://cpj-photos.s3.amazonaws.com/ChrisAllen_EELUKS-1-2017-09-05-1504629172625.jpg,Eddie Einbender-Luks
Christopher Iban Lozada,2017,Philippines,Male,Murder,Confirmed,Broadcast Reporter,Staff,DBXF Prime Broadcasting Network,"Corruption,Politics",Radio,Local,Government Officials,Confirmed,No,No,No,,
Daphne Caruana Galizia,2017,Malta,Female,Murder,Confirmed,Internet Reporter,Freelance,Running Commentary,"Business,Corruption,Crime,Human Rights,Politics",Internet,Local,Criminal Group,Confirmed,No,No,Yes,https://cpj-photos.s3.amazonaws.com/AFP-Galizia-1-2017-10-18-1508361773940.jpg,AFP/Matthew Mirabelli
